id,city_id,title,normalized_title,description
1,1,"💰 Торговец Центур","торговец центур","Торговая лавка Центура открыта для всех. У него ты можешь приобрести экипировку."
2,1,"🧝🏻‍♀️ Юная Веллен","юная веллен","Ты повстречал юную девушку."
3,1,"⛑ Целитель Талли","целитель талли","Каждый в Аквелии знает, что если у тебя проблемы со здоровьем, обращайся к целителю Талли."
4,1,"⚒️ Кузнец Гейл","кузнец гейл","Кузнец Гейл новичок в этом деле, но он приложит все усилия чтобы выполнить заказ."
5,1,"👨‍🔬 Алхимик Зефельд","алхимик зефельд","- Если ты хочешь прикоснуться к загадочному миру алхимии, ты зашел по адресу!


Примечание: Здесь ты можешь приобрести рецепты и ингредиенты для алхимии, а также произвести уникальные зелья - усиления."
6,1,"🥋 Тренер А-Эль","тренер а-эль","Со времен войны А-Эль овладел всеми видами оружия. Он может показать тебе пару ловких приемов."
7,1,"🎣 Рыбак Ва-Эль","рыбак ва-эль","Мастер рыбак."
8,19,"👨‍🔬 Алхимик Фламель","алхимик фламель","Доброго дня, путник!
Колесо жизни привело тебя на мой порог.
Быть может, я могу быть тебе полезным?

Примечание: Здесь ты можешь приобрести рецепты и ингредиенты для алхимии, а также произвести уникальные зелья - усиления."
9,19,"🥋 Мастер Зиллот","мастер зиллот","- Давным давно я был учителем фехтования при дворе... Кселес отродясь имел особый талант, без труда впитывая все уроки. Аарон тоже был неплох, но до брата ему было далеко. Его больше волновали смазливые девицы. На одной из них он и погорел... Жаль, что всё так вышло.
О чем это я...
А... Точно!
Могу научить тебя паре трюков. Есть желание?"
10,19,"💰 Торговец Оттер","торговец оттер","- С тех пор как большая война закончилась, торговля у меня, тьфу-тьфу, идет хорошими темпами. Могу что-то предложить?"
11,19,"👱🏻‍♀️ Сестра Элис","сестра элис","Она по истине герой нашего времени. Не сосчитать сколько солдат ее руки спасли от неминуемой гибели. Она может помочь и тебе."
12,19,"⚒️ Кузнец Хэнк","кузнец хэнк","Моя лавка, одно из немногих мест, что уцелели в Цирте. Мне удалось сохранить много чертежей. Обращайся, если нужна моя помощь."
13,19,"🔰🧟‍♂️Коммандер Рэнгар","коммандер рэнгар","Специальный коммандер армии Эпсилиона. Член 🌙Копья Полумесяца.
Прибыл в Цирту по специальному поручению короля.
Имеет полномочия издавать специальные директивы на территориях Цирты."
14,19,"🎭 Наемница Ray","наемница ray","По поручению 🤴🏻 Кселеса в поверженной 🏛 Цирте 🎭Наемница Ray смотрит за порядком.
Здесь она держит небольшой магазин - ""Mercenaries Shop"", где продает обмундирование, с помощью которого была одержана победа в войне."
15,19,"👴 Кладовщик Бернард","кладовщик бернард","Возглавляет склады 🏛 Цирты. С ним - твои вещи в безопасности"
16,3,"👨‍🦱 Хозяин Трактира","хозяин трактира","- Ты заглянул за пинтой свежего эля? Ооо... Ты по адресу, приятель!
Но сразу предупреждаю, с пьяницами и дебоширами не церемонюсь - быстро выставлю за дверь!"
17,3,"👨🏻‍🌾 Садовник",садовник,"- Ты можешь приобрести у меня свежие фрукты. Заряд витаминов никому не навредит!"
18,3,"🛎 Стол заказов","стол заказов","- Мы заплатим тебе за работу. Ознакомься со списком доступных заданий."
19,3,"👱🏼‍♀️ Жаннет",жаннет,"Жена не сильно удачливого охотника"
20,3,"🤹‍♂️ Авантюрист Питер","авантюрист питер","В этом мире побеждают самые богатые.
У кого есть деньги, у того есть власть!
C моей помощью ты сможешь быстро разбогатеть.
Ну что, сыграем в игру?.."
21,3,"👨🏼‍🌾 Фермер Пол","фермер пол","- Фермерское дело не простое...
Как говорил мой дед: «Не к урожаю идут, а урожай ведут». Удачи тебе в делах огородных...
Доброму урожаю добрый сбор!"
22,3,"🧵 Портной Эллиот","портной эллиот","Поговаривают, он умелец на все руки. Смастерит для тебя любую одежду. А если решишь вступить в брак то и с костюмами поможет."
23,3,"👨🏽‍🍳 Повар Николя","повар николя","- Бонжур, мон ами. Сытый живот - нет забот!
Если ты захотеть приготовить блюдо высокой кухня, я к твоим распоряжениям. Сделаем так -  прям пальчики оближешь, мон шери."
24,20,"🏴‍☠️ Роджер",роджер,"Молодой пират"
25,20,"👱🏽‍♂️ Работник бухты","работник бухты","Простой работяга."
26,20,"🧝🏽 Охотник Грэм","охотник грэм","Бывалый охотник"
27,20,"🎭 Каптенармус",каптенармус,"Четко и тщательно ведет учет складского обмундирования 🎭 Наемников.
У него ты можешь обменять свои чертежи и свитки на снаряжение.
Все строго под учет.
""Комар носа не подточит!"""
28,20,"👨🏼‍🦳 Хранитель маяка","хранитель маяка","Тебя приветствует седовласый хранитель маяка. Он еще молодится, но годы берут своё."
29,20,"🎭 Наемник Leo","наемник leo","По распоряжению 🤴🏻 Кселеса смотрит за порядком в 🏛 Чертовой бухте.
Здесь он возглавляет крупный логистический центр, где курирует поставки обмундирования в магазины ""Mercenaries Shop"" по всему Эпсилиону. В этом центре есть магазин розницы, где ты можешь приобрести обмундирование наемников."
30,20,"🧓🏻 Рыбак Оззи","рыбак оззи","Заядлый, но неудачливый любитель рыбной ловли."
31,20,"📋Доска объявлений","доска объявлений","Иногда, важные вещи попадают сюда"
32,13,"👦🏼 Томми",томми,"- Настала весна!.. Праздник скоро!"
33,13,"💰Торговец Тревор","торговец тревор","Лавка Тревора открыта в любое время."
34,13,"⛑ Лекарь Гельт","лекарь гельт","Близ о. Эпсила только он сможет помочь тебе с проблемами по здоровью."
35,13,"🧝 Смотритель склепа","смотритель склепа","Следит за порядком вокруг усыпальницы Эпсила."
36,13,"🪔 Плавильщик Турис","плавильщик турис","На материке всегда есть те, кому нужно переплавить вещи. Турис быстрее всех понял это и приехал в городок на 🏞🏛 Озере Эпсил предоставлять свои услуги плавки вещей."
37,13,"⚒️ Ремесленник Марк","ремесленник марк","Когда то, я делал оружие для лучших воинов Эпсилиона, но теперь - решил встретить старость на озере и заняться своими любимыми хобби"
38,13,"🕍👴🏻 Священник Клемент","священник клемент","Седой и мудрый, он обладает знанием древних обычаев и тайн, передаваемых ему из поколения в поколение. Его глубокий голос звучит как мелодия, когда он произносит молитвы и благословения для путешественников, искателей и верующих, приходящих в храм в поисках утешения и направления. Священник Клемент считается святым человеком, способным принести мир и свет в сердца всех, кто обращается к нему в поисках помощи и утешения."
39,21,"🥋 Учитель Эвоол","учитель эвоол","Потомок древней цивилизации, которую уничтожило извержение вулкана. Он располагает уникальными древними знаниями боевых искуств, которые передавались из поколения в поколение."
40,21,"🧙‍♂️ Таинственный путник","таинственный путник","По уставшему лицу и потрепанным одеяниям, ты понимаешь, что перед тобой стоит человек прошедший не одну версту. Интересно, где его помотало"
41,21,"💍 Ювелир Оормит","ювелир оормит","Потомок древней цивилизации, которую уничтожило извержение вулкана.  Он располагает уникальными древними знаниями в ювелирном мастерстве, которые передавались из поколения в поколение."
42,21,"🧵 Портной Амооса","портной амооса","Потомок древней цивилизации, которую уничтожило извержение вулкана. Он располагает уникальными древними знаниями в ткацком ремесле, которые передавались из поколения в поколение."
43,21,"⚒️ Кузнец Аакмаан","кузнец аакмаан","Потомок древней цивилизации, которую уничтожило извержение вулкана. Он располагает уникальными древними знаниями в кузнечном ремесле, которые передавались из поколения в поколение."
44,21,"👨‍🔬 Алхимик Анаак","алхимик анаак","Потомок древней цивилизации, которую уничтожило извержение вулкана. Он располагает уникальными древними знаниями в алхимии, которые передавались из поколения в поколение."
45,16,"🎭 Наемник Sieger","наемник sieger","Опытный стратег. Благодаря его знаниям и умениям удалось быстро осадить Цирту и довести дело до победы."
46,16,"💰 Торговец Нэл","торговец нэл","Владеет небольшой оружейной лавкой."
47,16,"👨‍🔬 Алхимик Форт","алхимик форт","Мастер перемещений, приобрел свои знания, обучаясь в северных горах"
48,16,"⚒️ Кузнец Флэт","кузнец флэт","Старый портовый кузнец, повидавший много на своем веку"
49,16,"👴🏼 Паромщик Николас","паромщик николас","Старый паромщик за небольшую плату доставит тебя к 🧊 Ледяному острову и обратно.

Стоимость проезда в оба конца: 100 золота"
50,16,"👨‍🦳 Почтальон Донал","почтальон донал","Еще в детстве разносил газеты, а теперь открыл свою почтовую службу ""Донал экспресс"". Доставляет печеньки, занимается передачей экипировки, ресурсов."
51,16,🔩Мастерская,мастерская,"У входа тебя встречает 👷🏽‍♂️ ответственный за мастерскую. Он проводит с тобой небольшой инструктаж и дает тебе доступ к твоим опытам."
52,10,"💰 Торговец Шурич","торговец шурич","Миледонский торговец. Все самые новые и интересные товары - у него."
53,10,"📰 Доска заданий","доска заданий","*На ней отображены все доступные и недоступные для вас задания, которые выставили в Гильдии за вознаграждение.*"
54,10,"🏰🧙‍♂️ Сумасшедший Жак","сумасшедший жак","Нищий из трущоб Миледона. Постоянно твердит о каких то подземных лабиринтах. Но ему никто не верит, потому что он лишился рассудка."
55,10,"👱🏻‍♀️ Распорядитель Офелия","распорядитель офелия","Добро пожаловать в Гильдию Героев! Если вы зарегистрированный Герой, то задания вы можете посмотреть у 📰 Доски заданий. Если вы новенький, я должна проверить, насколько вы подходите званию ""Героя""."
56,10,"🧵 Портной Муце","портной муце","Поговаривают, он умелец на все руки. Смастерит для тебя любую одежду. А если решишь вступить в брак то и с костюмами поможет."
57,10,"🧑🏼‍🔬 Алхимик Неил","алхимик неил","Молодой миледонский алхимик."
