"id","title","normalized_title","type","subtype","grade","is_event","is_personal","description","raw_response"
"3","🧾 Рецепт на крафт [I]","рецепт на крафт","рецепт",NULL,"I","0","0","Необходим при крафте некоторых вещей","📋 Страница ресурса

🧾 Рецепт на крафт [I]
Необходим при крафте некоторых вещей"
"6","🧪 Эликсир здоровья +25% [I]","эликсир здоровья +25%","зелье",NULL,"I","0","0","Восстанавливает ❤️ 25% здоровья
можно использовать до 10-ого уровня
Для использования: /use_low_hp

","📋 Страница ресурса

🧪 Эликсир здоровья +25% [I]
Восстанавливает ❤️ 25% здоровья
можно использовать до 10-ого уровня
Для использования: /use_low_hp

Дроп c монстров:
🦤 Падальщик🔸1 ☘️ Фермерские угодья
🐀 Речная крыса🔸1 🏞 Устье реки
🕷 Пустынный паук🔸1 🏜 Пустошь
🐖 Дикий свин🔸3 ☘️ Фермерские угодья
🦋 Ядовитая бабочка🔸4 Тайная локация
🦇 Крылан🔸4 Тайная локация
🦎 Ящер🔸4 ⛰ Пещера
🐸 Водяник🔸5 🪷 Болото
🦇 Крылатый вампир🔸5 ⛰ Пещера
🐍 Гадюка🔸5 🌲 Темный лес
🦇 Крылатый вампир🔸5 ⛰ Пещера
🐵 Обезьяна🔸6 Тайная локация
🐺 Молодой волк🔸6 🌲 Темный лес
🦑 Гнилец🔸6 🪷 Болото
🦖 Кобольд🔸6 ⛰ Пещера
🕷 Черная королева🔸7 🌲 Темный лес
🧌 Утопленник🔸7 🪷 Болото
🐏 Горный Тур🔸7 🏔 Перевал
🐺 Варг🔸9 🏔 Перевал"
"7","🧪 Эликсир здоровья +50% [I]","эликсир здоровья +50%","зелье",NULL,"I","0","0","Восстанавливает ❤️ 50% здоровья
можно использовать до 10-ого уровня
Для использования: /use_middle_hp

","📋 Страница ресурса

🧪 Эликсир здоровья +50% [I]
Восстанавливает ❤️ 50% здоровья
можно использовать до 10-ого уровня
Для использования: /use_middle_hp

Дроп c монстров:
🦂 Скорпион🔸2 🏜 Пустошь
🐙 Болотник🔸2 🏞 Устье реки
🪲 Полевой жук🔸2 ☘️ Фермерские угодья
🐸 Жаболюд🔸3 🏞 Устье реки
🦅 Стервятник🔸3 🏜 Пустошь
🦎 Ящер🔸4 ⛰ Пещера
🐍 Гадюка🔸5 🌲 Темный лес
🐸 Водяник🔸5 🪷 Болото
🐏 Горный Тур🔸7 🏔 Перевал
🐺 Варг🔸9 🏔 Перевал"
"8","🌡 Эликсир здоровья +75%","эликсир здоровья +75%","зелье",NULL,NULL,"0","0","Восстанавливает ❤️ 75% здоровья
Для использования: /use_high_hp","📋 Страница ресурса

🌡 Эликсир здоровья +75%
Восстанавливает ❤️ 75% здоровья
Для использования: /use_high_hp"
"9","🔖 Свиток заточки [I]","свиток заточки","прочее",NULL,"I","0","0","Используется для заточки предмета грейда [I]

","📋 Страница ресурса

🔖 Свиток заточки [I]
Используется для заточки предмета грейда [I]

Дроп c монстров:
🦋 Ядовитая бабочка🔸4 Тайная локация
🦇 Крылан🔸4 Тайная локация
🦍 Вожак🔸7 Тайная локация
🐺 Варг🔸9 🏔 Перевал
🦍 Тролль🔸10 🏔 Перевал"
"10","🔖 Свиток заточки [II]","свиток заточки","прочее",NULL,"II","0","0","Используется для заточки предмета грейда [II]

","📋 Страница ресурса

🔖 Свиток заточки [II]
Используется для заточки предмета грейда [II]

Дроп c монстров:
🦍 Тролль🔸10 🏔 Перевал
😱 Банши🔸12 🏯 Забытый Дворец
👻 Полтергейст🔸13 🏯 Забытый Дворец
🐕 Пёс зомби🔸13 ☠️ Проклятые земли
🧥 Доспехи с заключенной душой🔸14 ⚜️ Арсенал под Циртой
💀 Скелет в доспехах🔸14 ☠️ Проклятые земли
👾 Прислужник🔸15 🔥Очаг сопротивления[II]
👹 Прислужник🔸15 🔥Очаг сопротивления[II]
👺  Прислужник🔸15 🔥Очаг сопротивления[II]
🧝🏽‍♂️🏹 Эльф разбойник🔸16 🏞Купеческий тракт
⚔️ Клинки с заключенной душой🔸16 ⚜️ Арсенал под Циртой
🧟‍♂️Орк сторожевой🔸16 🏕 Внутренний двор
🧟‍♂️🪓 Орк громила🔸17 🏞Купеческий тракт
👯‍♂️ Одержимые🔸17 🏕 Лагерь фанатиков
🐙 Ламещуп🔸17 🌋 Пещера Нумеадора
🧔‍♂️🐎 Кентавр🔸18 🐾🍃Охотничьи угодья
🧘🏽‍♀️ Глава лагеря🔸18 🏕 Лагерь фанатиков
👨🏻‍🎤🗡  Человек грабитель🔸18 🏞Купеческий тракт
🧝🏿‍♀️ Дриада🔸18 🐾🍃Охотничьи угодья"
"11","🔖 Свиток заточки [III]","свиток заточки","прочее",NULL,"III","0","0","Используется для заточки предмета грейда [III]

","📋 Страница ресурса

🔖 Свиток заточки [III]
Используется для заточки предмета грейда [III]

Дроп c монстров:
👲🏾 Глава лагеря🔸20 ⛺️ Лагерь фанатиков
🐺 Оборотень🔸20 🐾🍃Охотничьи угодья
🎋 Атропа🔸21 🌿 Заросли
🦖 T.Rex🔸22 💦 Сквозь водопад
🧌 Леший🔸22 🐾🍃Охотничьи угодья
🐦🐦🐦 Стая чаек🔸22 🛶 Лодочная станция
🦐🦐🦐 Стая креветок🔸22 🛶 Лодочная станция
🦏 Rhino🔸22 🌿 Заросли
🐙 Ламещуп🔸22 🌋 Пещера Нумеадора
👺 Жрец🔸23 🔥Очаг сопротивления[III]
👹 Жрец🔸23 🔥Очаг сопротивления[III]
👾 Жрец🔸23 🔥Очаг сопротивления[III]
🦄 Единорог🔸23 🐾🍃Охотничьи угодья
🍄 Мухомор🔸23 🌿 Заросли
🦕 Эсси🔸24 🛶 Лодочная станция
🦅 Орлан белохвостый🔸25 🗼 Маяк
🧜🏻‍♀️ Русалка🔸26 💧 Спуск к воде
🥾 Старый башмак🔸26 🎣 Морской причал
🐈 Снежный барс🔸26 🗻 Заснеженная гора
🐺 Полярный волк🔸26 🗻 Заснеженная гора
🔨🧔🏿🛡 Гном стражник🔸26 🧊⛏🧊Морозная шахта
🐟🐟🐟 Косяк окуней🔸26 🎣 Морской причал
🧜🏻‍♀️ Русалка🔸26 💧 Спуск к воде
⛄️ Снежный некто🔸27 ❄️ Морозная пустошь
☃️ Снежное нечто🔸27 ❄️ Морозная пустошь"
"12","🔖 Свиток заточки [IV]","свиток заточки","прочее",NULL,"IV","0","0","Используется для заточки предмета грейда [IV]

","📋 Страница ресурса

🔖 Свиток заточки [IV]
Используется для заточки предмета грейда [IV]

Дроп c монстров:
🐙 Осьминог🔸25 🛶 Лодочная станция
🦈 Мегалодон🔸29 🌊 Суровые воды
⭕️ Аномалия🔸30 🛕 Башня исследований
☀️🦀 Песочный краб🔸30 🛕 Башня исследований
🕸🧟‍♂️ Древний зомби🔸31 🚧 🏺 Забытое хранилище
🩸🐟 Яростная пиранья🔸31 🌊⚓️ Прибрежные воды
👳🏾 Главарь Нокс🔸32 🗻 Ущелье головорезов
💧👤 Дух озера🔸33 ♾ Озеро пустоты
⭕️ Аномалия🔸33 🌌 Пещера грёз
⭕️ Аномалия🔸33 ♾ Озеро пустоты
🧚🏽‍♀️ Фея Артида🔸33 🥀 Сады Артемиды
🧞‍♂️ Джин грехов🔸33 🌌 Пещера грёз
🦇 Агрессивная летучая мышь🔸33 🍙 Тоннели
🩸🐅 Зараженный тигр🔸34 🏚 Заброшенный район
📜🔮🐊 Хранитель тайн Каллидус🔸34 🏕 Пост сопротивления
⭕️ Аномалия🔸34 🔒 Укрепление
⚫️ Темная аномалия🔸35 ⛩ Оплот веры
💪🐊🔪 Эртус зараженный🔸35 🏚 Заброшенный район
😈Чудище из разлома🔸35 Test PVP
🐍 Древняя змея🔸35 🍙 Тоннели"
"13","👝 Мешок с ресурсами [I]","мешок с ресурсами","контейнер",NULL,"I","0","0","Маленький мешочек с ресурсами
Для использования: /use_bag_1

","📋 Страница ресурса

👝 Мешок с ресурсами [I]
Маленький мешочек с ресурсами
Для использования: /use_bag_1

Дроп c монстров:
🦑 Гнилец🔸6 🪷 Болото
🦖 Кобольд🔸6 ⛰ Пещера
🐺 Молодой волк🔸6 🌲 Темный лес
🐵 Обезьяна🔸6 Тайная локация
🕷 Черная королева🔸7 🌲 Темный лес
🦍 Вожак🔸7 Тайная локация
🐏 Горный Тур🔸7 🏔 Перевал
🧌 Утопленник🔸7 🪷 Болото
🐵🙉 Стая гоблинов🔸8 🏔 Перевал
🐺 Варг🔸9 🏔 Перевал
🦍 Тролль🔸10 🏔 Перевал
🐎 Пегас🔸21 🐾🍃Охотничьи угодья
🦏 Rhino🔸22 🌿 Заросли
🦌 Северный олень🔸25 🗻 Заснеженная гора
🐈 Снежный барс🔸26 🗻 Заснеженная гора
🐺 Полярный волк🔸26 🗻 Заснеженная гора
🧜🏻‍♀️ Русалка🔸26 💧 Спуск к воде
🧜‍♂️ Тритон🔸27 💧 Спуск к воде"
"14","👝 Мешок с ресурсами [II]","мешок с ресурсами","контейнер",NULL,"II","0","0","Небольшой мешок с ресурсами
Для использования: /use_bag_2

","📋 Страница ресурса

👝 Мешок с ресурсами [II]
Небольшой мешок с ресурсами
Для использования: /use_bag_2

Дроп c монстров:
🧌 Утопленник🔸7 🪷 Болото
🦍 Вожак🔸7 Тайная локация
🕷 Черная королева🔸7 🌲 Темный лес
🦍 Тролль🔸10 🏔 Перевал
😱 Банши🔸12 🏯 Забытый Дворец
💀 Скелет рабочего🔸13 ☠️ Проклятые земли
👻 Полтергейст🔸13 🏯 Забытый Дворец
💀 Скелет в доспехах🔸14 ☠️ Проклятые земли
👺  Прислужник🔸15 🔥Очаг сопротивления[II]
👹 Прислужник🔸15 🔥Очаг сопротивления[II]
👾 Прислужник🔸15 🔥Очаг сопротивления[II]
⚔️ Клинки с заключенной душой🔸16 ⚜️ Арсенал под Циртой
👨🏻‍🎤🗡  Человек грабитель🔸18 🏞Купеческий тракт
👷🏼‍♂️Интендант Крикс🔸18 🏕Склад с припасами
👷🏼‍♂️Интендант Крикс🔸18 🏕Склад с припасами
🧘🏽‍♀️ Глава лагеря🔸18 🏕 Лагерь фанатиков
🧝🏻‍♂️Даэрон и 🧝🏻‍♀️Мираэль🔸19 🏕 Вход в замок
👲🏾 Глава лагеря🔸20 ⛺️ Лагерь фанатиков
🐎 Пегас🔸21 🐾🍃Охотничьи угодья
🦏 Rhino🔸22 🌿 Заросли
🦖 T.Rex🔸22 💦 Сквозь водопад
🐹 Лемминг🔸24 🗻 Заснеженная гора
🦌 Северный олень🔸25 🗻 Заснеженная гора
🐈 Снежный барс🔸26 🗻 Заснеженная гора
🐺 Полярный волк🔸26 🗻 Заснеженная гора"
